,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
174,175,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
182,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02,Carmen
187,188,2004-03-16,Casa,Venta,Lleida,63,537264,2005-02-08,Carmen
190,191,2004-03-18,Suelo,Alquiler,Tarragona,71,431325,2004-07-23,Carmen
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
209,210,2004-03-24,Oficina,Alquiler,Lleida,206,1297594,2005-03-03,Carmen
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
211,212,2004-03-25,Casa,Alquiler,Barcelona,63,492156,2004-10-25,Carmen
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
217,218,2004-03-29,Suelo,Alquiler,Tarragona,65,461435,2004-12-31,Carmen
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
256,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
277,278,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25,Carmen
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
299,300,2004-04-23,Suelo,Alquiler,Tarragona,85,683230,2005-02-06,Carmen
300,301,2004-04-24,Casa,Alquiler,Tarragona,178,1458176,2005-02-12,Carmen
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
306,307,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14,Carmen
307,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
310,311,2004-04-28,Suelo,Venta,Lleida,61,605425,2004-12-29,Carmen
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
323,324,2004-05-04,Suelo,Alquiler,Barcelona,155,876060,2004-12-31,Carmen
337,338,2004-05-08,Oficina,Alquiler,Barcelona,41,361661,2005-01-28,Carmen
346,347,2004-05-11,Industrial,Venta,Barcelona,173,851852,2004-09-18,Carmen
352,353,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14,Carmen
353,354,2004-05-14,Piso,Venta,Girona,122,885476,2005-03-30,Carmen
354,355,2004-05-14,Oficina,Alquiler,Tarragona,209,1181686,2004-10-15,Carmen
362,363,2004-05-18,Suelo,Alquiler,Girona,68,378624,2005-03-30,Carmen
367,368,2004-05-18,Casa,Venta,Girona,80,354320,2004-10-18,Carmen
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
390,391,2004-05-30,Suelo,Venta,Girona,300,1483500,2005-03-29,Carmen
394,395,2004-05-31,Casa,Alquiler,Girona,192,1159296,2005-05-23,Carmen
399,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
403,404,2004-06-03,Casa,Alquiler,Lleida,72,702576,2005-03-22,Carmen
405,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
414,415,2004-06-06,Parking,Venta,Barcelona,46,386584,2004-12-17,Carmen
415,416,2004-06-07,Oficina,Alquiler,Lleida,201,1287807,2004-09-11,Carmen
419,420,2004-06-08,Piso,Alquiler,Lleida,114,1019160,2005-05-29,Carmen
426,427,2004-06-10,Piso,Venta,Barcelona,81,583362,2005-05-04,Carmen
427,428,2004-06-10,Piso,Alquiler,Lleida,52,338364,2005-01-04,Carmen
432,433,2004-06-13,Suelo,Venta,Tarragona,144,852480,2005-06-04,Carmen
435,436,2004-06-13,Suelo,Venta,Tarragona,105,783195,2004-11-20,Carmen
440,441,2004-06-16,Parking,Venta,Barcelona,102,790602,2004-11-09,Carmen
454,455,2004-06-20,Parking,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
472,473,2004-06-25,Parking,Alquiler,Lleida,105,872760,2005-03-26,Carmen
475,476,2004-06-26,Oficina,Alquiler,Lleida,88,851488,2005-05-25,Carmen
482,483,2004-06-29,Oficina,Venta,Lleida,134,946710,2005-01-04,Carmen
486,487,2004-06-30,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
487,488,2004-07-01,Piso,Alquiler,Lleida,185,1306840,2005-05-17,Carmen
506,507,2004-07-05,Industrial,Alquiler,Tarragona,159,1032546,2004-11-07,Carmen
514,515,2004-07-08,Oficina,Alquiler,Barcelona,47,262777,2004-12-22,Carmen
515,516,2004-07-08,Oficina,Alquiler,Barcelona,119,720902,2005-06-23,Carmen
521,522,2004-07-09,Casa,Venta,Lleida,223,1293400,2005-03-03,Carmen
522,523,2004-07-09,Suelo,Alquiler,Girona,270,1429380,2005-03-25,Carmen
528,529,2004-07-12,Industrial,Alquiler,Lleida,206,1414602,2005-06-14,Carmen
530,531,2004-07-12,Industrial,Alquiler,Barcelona,112,712768,2005-06-14,Carmen
531,532,2004-07-12,Local,Alquiler,Lleida,182,999726,2005-02-20,Carmen
532,533,2004-07-13,Parking,Venta,Tarragona,72,606024,2005-04-12,Carmen
534,535,2004-07-14,Industrial,Alquiler,Lleida,280,1730680,2005-05-07,Carmen
543,544,2004-07-17,Oficina,Venta,Tarragona,79,694331,2005-03-10,Carmen
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
548,549,2004-07-20,Local,Venta,Girona,237,1403988,2005-06-27,Carmen
551,552,2004-07-21,Local,Venta,Barcelona,125,804625,2005-06-26,Carmen
555,556,2004-07-22,Suelo,Venta,Lleida,57,567492,2005-02-08,Carmen
571,572,2004-07-28,Local,Alquiler,Tarragona,235,1897155,2005-07-01,Carmen
573,574,2004-07-28,Local,Alquiler,Lleida,58,251430,2005-05-30,Carmen
588,589,2004-08-02,Oficina,Venta,Tarragona,138,1372686,2005-06-17,Carmen
589,590,2004-08-03,Suelo,Venta,Tarragona,95,627570,2005-03-16,Carmen
592,593,2004-08-04,Suelo,Venta,Tarragona,213,1234974,2005-06-23,Carmen
607,608,2004-08-11,Suelo,Venta,Lleida,210,1117620,2005-05-12,Carmen
616,617,2004-08-13,Piso,Venta,Lleida,172,1283980,2005-01-27,Carmen
619,620,2004-08-14,Suelo,Alquiler,Barcelona,58,406290,2005-07-04,Carmen
620,621,2004-08-14,Industrial,Venta,Tarragona,223,2171128,2005-03-23,Carmen
624,625,2004-08-15,Industrial,Alquiler,Girona,222,2171826,2005-01-12,Carmen
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
638,639,2004-08-19,Piso,Alquiler,Girona,277,2646181,2005-07-04,Carmen
642,643,2004-08-20,Industrial,Alquiler,Lleida,255,2338095,2005-08-10,Carmen
649,650,2004-08-22,Parking,Venta,Lleida,80,777360,2005-04-21,Carmen
652,653,2004-08-22,Piso,Venta,Tarragona,147,730149,2004-12-25,Carmen
659,660,2004-08-23,Piso,Venta,Tarragona,176,1003552,2005-08-05,Carmen
675,676,2004-08-29,Casa,Venta,Girona,47,311563,2004-12-27,Carmen
679,680,2004-08-30,Piso,Alquiler,Tarragona,249,1029864,2005-05-06,Carmen
684,685,2004-08-31,Piso,Venta,Girona,97,662316,2005-04-27,Carmen
696,697,2004-09-04,Local,Alquiler,Barcelona,163,1570016,2005-08-04,Carmen
697,698,2004-09-05,Parking,Alquiler,Girona,187,789140,2005-05-16,Carmen
701,702,2004-09-07,Piso,Alquiler,Girona,295,2553225,2005-01-14,Carmen
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
706,707,2004-09-08,Industrial,Venta,Girona,215,1713120,2005-05-27,Carmen
721,722,2004-09-12,Industrial,Alquiler,Girona,86,611546,2005-02-10,Carmen
724,725,2004-09-13,Oficina,Alquiler,Barcelona,180,901980,2005-02-07,Carmen
749,750,2004-09-23,Parking,Alquiler,Girona,294,1335936,2005-07-14,Carmen
760,761,2004-09-26,Local,Venta,Girona,50,411700,2005-01-05,Carmen
764,765,2004-09-28,Local,Alquiler,Girona,291,2354481,2005-01-26,Carmen
767,768,2004-09-29,Piso,Venta,Girona,231,1213212,2005-06-24,Carmen
769,770,2004-10-04,Oficina,Venta,Lleida,185,1343840,2005-04-17,Carmen
774,775,2004-10-05,Local,Venta,Lleida,204,1606500,2005-07-25,Carmen
779,780,2004-10-06,Local,Venta,Tarragona,185,1607280,2005-03-28,Carmen
787,788,2004-10-07,Casa,Venta,Girona,92,853852,2005-09-25,Carmen
795,796,2004-10-10,Casa,Alquiler,Lleida,110,950290,2005-06-08,Carmen
809,810,2004-10-15,Industrial,Venta,Barcelona,51,334305,2005-09-25,Carmen
810,811,2004-10-16,Industrial,Venta,Lleida,214,1805518,2005-08-30,Carmen
822,823,2004-10-20,Parking,Venta,Lleida,177,992793,2005-03-20,Carmen
830,831,2004-10-24,Parking,Venta,Girona,115,880900,2005-07-04,Carmen
831,832,2004-10-24,Casa,Alquiler,Tarragona,87,574200,2005-05-19,Carmen
834,835,2004-10-25,Parking,Venta,Lleida,168,1276800,2005-07-25,Carmen
835,836,2004-10-25,Suelo,Venta,Tarragona,274,2124596,2005-02-21,Carmen
839,840,2004-10-27,Parking,Alquiler,Girona,114,1040478,2005-04-29,Carmen
842,843,2004-10-30,Casa,Venta,Barcelona,175,1712725,2005-03-12,Carmen
848,849,2004-11-01,Casa,Venta,Tarragona,120,1003320,2005-07-18,Carmen
849,850,2004-11-01,Piso,Alquiler,Girona,159,1391091,2005-06-16,Carmen
853,854,2004-11-02,Piso,Alquiler,Lleida,299,2430272,2005-03-26,Carmen
854,855,2004-11-03,Suelo,Venta,Girona,223,1650200,2005-08-28,Carmen
868,869,2004-11-07,Parking,Alquiler,Lleida,183,1082079,2005-09-07,Carmen
876,877,2004-11-09,Oficina,Alquiler,Lleida,128,549120,2005-03-16,Carmen
880,881,2004-11-11,Casa,Alquiler,Lleida,113,645569,2005-06-10,Carmen
883,884,2004-11-11,Piso,Venta,Girona,125,590875,2005-09-20,Carmen
896,897,2004-11-15,Suelo,Alquiler,Lleida,64,581568,2005-02-15,Carmen
902,903,2004-11-17,Suelo,Alquiler,Tarragona,151,1029367,2005-05-05,Carmen
908,909,2004-11-18,Industrial,Venta,Tarragona,127,1204595,2005-04-15,Carmen
917,918,2004-11-22,Industrial,Alquiler,Lleida,197,1662089,2005-06-29,Carmen
922,923,2004-11-24,Suelo,Venta,Tarragona,257,1440742,2005-07-09,Carmen
926,927,2004-11-25,Suelo,Alquiler,Barcelona,151,709700,2005-03-16,Carmen
928,929,2004-11-27,Local,Alquiler,Tarragona,73,410260,2005-10-29,Carmen
930,931,2004-11-27,Suelo,Venta,Lleida,223,2053384,2005-11-13,Carmen
941,942,2004-12-02,Industrial,Alquiler,Tarragona,177,1485915,2005-04-29,Carmen
942,943,2004-12-03,Piso,Venta,Tarragona,268,1273000,2005-06-16,Carmen
943,944,2004-12-03,Piso,Alquiler,Girona,66,558030,2005-12-01,Carmen
946,947,2004-12-04,Suelo,Venta,Lleida,103,474624,2005-03-25,Carmen
950,951,2004-12-06,Oficina,Venta,Barcelona,65,307255,2005-10-11,Carmen
952,953,2004-12-07,Casa,Alquiler,Girona,240,1510320,2005-10-19,Carmen
955,956,2004-12-09,Piso,Venta,Tarragona,80,509840,2005-05-21,Carmen
957,958,2004-12-10,Local,Alquiler,Tarragona,227,1071667,2005-05-26,Carmen
960,961,2004-12-10,Parking,Alquiler,Girona,96,535584,2005-10-22,Carmen
966,967,2004-12-12,Piso,Venta,Girona,175,722925,2005-03-18,Carmen
981,982,2004-12-19,Casa,Alquiler,Barcelona,212,1588940,2005-08-29,Carmen
986,987,2004-12-21,Industrial,Venta,Lleida,258,1894752,2005-08-21,Carmen
995,996,2004-12-23,Parking,Alquiler,Girona,88,690184,2005-05-29,Carmen
1007,1008,2004-12-27,Casa,Venta,Lleida,121,622787,2005-05-02,Carmen
1016,1017,2005-01-01,Parking,Venta,Girona,217,2101862,2005-10-23,Carmen
1023,1024,2005-01-03,Piso,Alquiler,Barcelona,172,1615424,2005-11-19,Carmen
1037,1038,2005-01-08,Piso,Alquiler,Girona,59,325326,2005-04-09,Carmen
1049,1050,2005-01-12,Casa,Venta,Tarragona,120,703680,2005-09-16,Carmen
1053,1054,2005-01-14,Oficina,Alquiler,Barcelona,251,2138771,2005-05-15,Carmen
1055,1056,2005-01-15,Suelo,Alquiler,Girona,45,300105,2005-06-02,Carmen
1063,1064,2005-01-19,Piso,Alquiler,Girona,80,607200,2005-11-20,Carmen
1070,1071,2005-01-21,Parking,Venta,Girona,118,1134452,2005-04-27,Carmen
1071,1072,2005-01-22,Piso,Alquiler,Girona,132,592152,2005-04-23,Carmen
1077,1078,2005-01-24,Oficina,Alquiler,Barcelona,254,1850644,2005-11-28,Carmen
1080,1081,2005-01-24,Piso,Alquiler,Barcelona,180,1128420,2005-10-13,Carmen
1081,1082,2005-01-25,Oficina,Venta,Tarragona,173,1615128,2005-05-06,Carmen
1082,1083,2005-01-25,Oficina,Alquiler,Tarragona,210,1332030,2006-01-02,Carmen
1085,1086,2005-01-25,Piso,Alquiler,Lleida,260,2546180,2005-05-23,Carmen
1088,1089,2005-01-27,Industrial,Venta,Barcelona,168,1081248,2005-06-01,Carmen
1091,1092,2005-01-29,Piso,Alquiler,Tarragona,299,2130375,2005-10-28,Carmen
1092,1093,2005-01-31,Parking,Alquiler,Girona,222,2209344,2005-09-09,Carmen
1093,1094,2005-02-01,Piso,Venta,Barcelona,139,1187477,2005-05-31,Carmen
1104,1105,2005-02-03,Parking,Alquiler,Tarragona,97,541648,2005-06-11,Carmen
1105,1106,2005-02-04,Oficina,Venta,Girona,141,1279434,2005-09-26,Carmen
1106,1107,2005-02-05,Suelo,Alquiler,Tarragona,105,650580,2005-05-26,Carmen
1108,1109,2005-02-05,Parking,Alquiler,Tarragona,286,2064634,2005-05-26,Carmen
1120,1121,2005-02-10,Piso,Venta,Lleida,176,1592624,2005-05-20,Carmen
1129,1130,2005-02-15,Casa,Alquiler,Barcelona,58,444338,2005-06-04,Carmen
1130,1131,2005-02-15,Parking,Venta,Barcelona,156,795912,2006-01-06,Carmen
1132,1133,2005-02-15,Oficina,Venta,Lleida,132,712404,2005-08-03,Carmen
1134,1135,2005-02-16,Casa,Alquiler,Tarragona,58,349102,2005-10-22,Carmen
1137,1138,2005-02-16,Casa,Venta,Barcelona,257,1066550,2005-09-23,Carmen
1142,1143,2005-02-17,Suelo,Alquiler,Barcelona,254,1394206,2005-05-28,Carmen
1143,1144,2005-02-17,Suelo,Alquiler,Barcelona,256,2176768,2006-02-13,Carmen
1146,1147,2005-02-18,Industrial,Alquiler,Lleida,153,1519137,2005-06-20,Carmen
1148,1149,2005-02-18,Oficina,Alquiler,Lleida,61,481656,2005-09-18,Carmen
1150,1151,2005-02-18,Local,Venta,Barcelona,158,1308398,2006-02-05,Carmen
1153,1154,2005-02-20,Piso,Alquiler,Barcelona,292,2865688,2005-08-21,Carmen
1154,1155,2005-02-20,Suelo,Venta,Tarragona,94,857374,2005-12-11,Carmen
1157,1158,2005-02-20,Oficina,Venta,Barcelona,298,2436448,2005-08-13,Carmen
1181,1182,2005-03-01,Suelo,Venta,Girona,177,1203246,2006-02-20,Carmen
1188,1189,2005-03-03,Piso,Alquiler,Barcelona,255,1471605,2005-10-11,Carmen
1189,1190,2005-03-03,Parking,Venta,Girona,153,1401633,2005-09-14,Carmen
1192,1193,2005-03-04,Casa,Alquiler,Barcelona,239,1320236,2005-08-03,Carmen
1200,1201,2005-03-07,Suelo,Venta,Tarragona,54,298350,2005-06-14,Carmen
1208,1209,2005-03-08,Piso,Alquiler,Girona,91,395850,2005-12-10,Carmen
1211,1212,2005-03-10,Casa,Venta,Barcelona,143,1246960,2005-09-28,Carmen
1217,1218,2005-03-11,Piso,Venta,Girona,241,1729416,2005-09-18,Carmen
1223,1224,2005-03-13,Parking,Venta,Tarragona,124,1070740,2005-12-22,Carmen
1227,1228,2005-03-14,Piso,Alquiler,Tarragona,188,996588,2005-06-20,Carmen
1229,1230,2005-03-15,Suelo,Venta,Girona,268,2422720,2005-11-27,Carmen
1232,1233,2005-03-17,Parking,Venta,Lleida,88,820776,2005-08-20,Carmen
1239,1240,2005-03-19,Industrial,Alquiler,Lleida,285,2562435,2005-06-20,Carmen
1242,1243,2005-03-20,Industrial,Alquiler,Girona,52,269516,2005-08-21,Carmen
1247,1248,2005-03-22,Piso,Alquiler,Tarragona,182,851032,2006-01-02,Carmen
1250,1251,2005-03-23,Local,Alquiler,Barcelona,150,730350,2005-06-28,Carmen
1254,1255,2005-03-24,Casa,Venta,Girona,40,354360,2005-10-16,Carmen
1278,1279,2005-04-02,Suelo,Venta,Lleida,124,804884,2005-07-24,Carmen
1295,1296,2005-04-07,Oficina,Venta,Lleida,89,716272,2005-08-31,Carmen
1299,1300,2005-04-09,Suelo,Venta,Barcelona,71,309702,2005-08-09,Carmen
1300,1301,2005-04-10,Suelo,Venta,Tarragona,299,2531334,2005-12-18,Carmen
1309,1310,2005-04-15,Casa,Alquiler,Lleida,267,1517628,2006-02-14,Carmen
1322,1323,2005-04-19,Piso,Alquiler,Lleida,84,431760,2006-04-09,Carmen
1324,1325,2005-04-19,Piso,Alquiler,Barcelona,73,563122,2005-10-25,Carmen
1325,1326,2005-04-19,Industrial,Alquiler,Barcelona,152,651472,2005-09-13,Carmen
1327,1328,2005-04-20,Parking,Alquiler,Barcelona,273,2306031,2005-09-25,Carmen
1328,1329,2005-04-20,Oficina,Venta,Girona,182,1367366,2005-07-21,Carmen
1329,1330,2005-04-20,Casa,Alquiler,Lleida,263,2094795,2006-02-12,Carmen
1332,1333,2005-04-21,Industrial,Venta,Tarragona,42,287952,2006-01-01,Carmen
1337,1338,2005-04-24,Oficina,Venta,Girona,40,163920,2006-04-09,Carmen
1339,1340,2005-04-24,Oficina,Venta,Tarragona,172,1033548,2006-01-01,Carmen
1341,1342,2005-04-25,Parking,Venta,Barcelona,194,1698664,2006-03-20,Carmen
1342,1343,2005-04-25,Suelo,Alquiler,Barcelona,269,2292149,2006-01-22,Carmen
1343,1344,2005-04-25,Parking,Venta,Tarragona,285,1500240,2005-08-20,Carmen
1345,1346,2005-04-25,Local,Alquiler,Barcelona,50,333650,2005-12-16,Carmen
1350,1351,2005-04-26,Piso,Venta,Tarragona,59,505040,2005-09-08,Carmen
1357,1358,2005-04-29,Local,Venta,Tarragona,274,2474494,2006-03-25,Carmen
1360,1361,2005-04-30,Local,Venta,Tarragona,186,1179612,2005-10-06,Carmen
1371,1372,2005-05-04,Industrial,Venta,Barcelona,286,2633774,2005-09-01,Carmen
1386,1387,2005-05-08,Oficina,Alquiler,Lleida,141,843180,2005-12-25,Carmen
1389,1390,2005-05-09,Oficina,Venta,Lleida,111,924741,2006-03-15,Carmen
1390,1391,2005-05-09,Industrial,Alquiler,Girona,160,804640,2006-04-03,Carmen
1391,1392,2005-05-09,Suelo,Alquiler,Girona,235,1046925,2005-12-05,Carmen
1392,1393,2005-05-09,Oficina,Venta,Tarragona,44,305756,2005-11-02,Carmen
1394,1395,2005-05-10,Local,Venta,Girona,252,1923264,2005-09-21,Carmen
1409,1410,2005-05-18,Oficina,Venta,Tarragona,80,662000,2006-04-08,Carmen
1414,1415,2005-05-21,Suelo,Alquiler,Barcelona,179,896969,2005-09-14,Carmen
1417,1418,2005-05-21,Piso,Alquiler,Tarragona,87,520521,2005-09-15,Carmen
1426,1427,2005-05-24,Parking,Alquiler,Girona,223,2228439,2005-09-17,Carmen
1437,1438,2005-05-28,Parking,Venta,Lleida,108,1001376,2006-02-10,Carmen
1440,1441,2005-05-29,Industrial,Alquiler,Tarragona,249,2116251,2006-01-14,Carmen
1459,1460,2005-06-06,Oficina,Alquiler,Girona,228,1039452,2006-01-11,Carmen
1467,1468,2005-06-09,Oficina,Alquiler,Tarragona,131,1297686,2006-05-01,Carmen
1473,1474,2005-06-11,Casa,Alquiler,Tarragona,269,2549313,2006-02-20,Carmen
1485,1486,2005-06-15,Local,Alquiler,Girona,167,1121906,2005-11-12,Carmen
1486,1487,2005-06-15,Casa,Venta,Lleida,109,537915,2006-05-16,Carmen
1490,1491,2005-06-16,Oficina,Alquiler,Girona,138,1241034,2006-06-05,Carmen
1491,1492,2005-06-16,Piso,Alquiler,Tarragona,165,1405305,2006-02-01,Carmen
1493,1494,2005-06-17,Suelo,Alquiler,Tarragona,201,1471320,2006-03-11,Carmen
1494,1495,2005-06-17,Casa,Venta,Girona,199,1590010,2006-04-13,Carmen
1501,1502,2005-06-21,Industrial,Venta,Girona,120,1175160,2005-11-28,Carmen
1502,1503,2005-06-21,Industrial,Alquiler,Lleida,157,977011,2006-03-03,Carmen
1510,1511,2005-06-23,Piso,Venta,Lleida,213,1587063,2006-02-02,Carmen
1515,1516,2005-06-27,Industrial,Venta,Lleida,182,805714,2006-03-20,Carmen
1517,1518,2005-06-28,Local,Alquiler,Girona,151,1456999,2005-10-01,Carmen
1518,1519,2005-06-28,Piso,Venta,Lleida,74,659858,2006-05-27,Carmen
1519,1520,2005-06-28,Local,Venta,Lleida,175,999950,2005-10-30,Carmen
1521,1522,2005-06-29,Suelo,Venta,Barcelona,40,306120,2005-11-24,Carmen
1524,1525,2005-06-30,Local,Venta,Tarragona,252,2283372,2006-02-12,Carmen
1538,1539,2005-07-04,Oficina,Venta,Tarragona,103,850368,2005-10-30,Carmen
1540,1541,2005-07-06,Local,Venta,Lleida,124,1045816,2006-03-12,Carmen
1550,1551,2005-07-09,Suelo,Alquiler,Girona,167,944385,2006-02-15,Carmen
1570,1571,2005-07-18,Casa,Venta,Barcelona,127,583692,2006-01-11,Carmen
1579,1580,2005-07-21,Piso,Venta,Tarragona,110,786830,2005-11-18,Carmen
1582,1583,2005-07-22,Suelo,Alquiler,Girona,300,1832100,2006-05-02,Carmen
1588,1589,2005-07-23,Casa,Venta,Lleida,287,1607487,2005-11-01,Carmen
1593,1594,2005-07-25,Local,Venta,Girona,80,568880,2005-10-29,Carmen
1599,1600,2005-07-27,Oficina,Alquiler,Lleida,114,764370,2006-02-24,Carmen
1602,1603,2005-07-28,Piso,Alquiler,Barcelona,165,687720,2006-02-20,Carmen
1603,1604,2005-07-29,Suelo,Venta,Tarragona,132,807048,2005-10-31,Carmen
1604,1605,2005-07-30,Casa,Alquiler,Barcelona,260,1301560,2005-12-29,Carmen
1609,1610,2005-08-01,Piso,Venta,Lleida,245,2292465,2006-06-10,Carmen
1612,1613,2005-08-03,Industrial,Alquiler,Girona,84,690396,2006-02-08,Carmen
1624,1625,2005-08-05,Oficina,Alquiler,Lleida,73,328646,2006-02-01,Carmen
1627,1628,2005-08-06,Parking,Venta,Girona,297,2440449,2006-08-03,Carmen
1632,1633,2005-08-07,Suelo,Venta,Lleida,201,1522977,2005-11-24,Carmen
1637,1638,2005-08-08,Piso,Venta,Girona,184,1156808,2006-04-26,Carmen
1648,1649,2005-08-14,Local,Venta,Barcelona,119,906780,2005-11-21,Carmen
1649,1650,2005-08-14,Casa,Alquiler,Tarragona,57,293037,2005-11-27,Carmen
1651,1652,2005-08-15,Casa,Alquiler,Girona,63,601398,2006-03-01,Carmen
1652,1653,2005-08-15,Piso,Alquiler,Lleida,159,761928,2006-02-05,Carmen
1659,1660,2005-08-16,Suelo,Alquiler,Lleida,212,1926868,2005-11-24,Carmen
1661,1662,2005-08-17,Piso,Venta,Lleida,167,1423007,2006-04-08,Carmen
1683,1684,2005-08-28,Industrial,Alquiler,Girona,224,1932448,2006-02-03,Carmen
1688,1689,2005-08-29,Piso,Alquiler,Girona,108,581580,2006-08-04,Carmen
1689,1690,2005-08-30,Parking,Venta,Girona,142,681884,2006-06-12,Carmen
1695,1696,2005-08-31,Industrial,Venta,Barcelona,158,1473982,2006-08-29,Carmen
1702,1703,2005-09-06,Industrial,Venta,Lleida,288,2171520,2006-08-28,Carmen
1705,1706,2005-09-06,Industrial,Alquiler,Tarragona,261,2026404,2006-02-05,Carmen
1710,1711,2005-09-08,Local,Venta,Barcelona,299,1424436,2006-01-17,Carmen
1711,1712,2005-09-08,Parking,Alquiler,Lleida,115,907580,2006-07-11,Carmen
1717,1718,2005-09-09,Local,Venta,Barcelona,218,1911424,2006-07-22,Carmen
1719,1720,2005-09-10,Local,Venta,Barcelona,254,1668526,2005-12-29,Carmen
1721,1722,2005-09-10,Piso,Alquiler,Tarragona,250,2478000,2006-04-27,Carmen
1732,1733,2005-09-13,Industrial,Venta,Barcelona,140,864080,2006-02-08,Carmen
1740,1741,2005-09-16,Oficina,Venta,Tarragona,79,441373,2006-02-02,Carmen
1753,1754,2005-09-21,Piso,Venta,Lleida,55,433235,2006-03-23,Carmen
